Method,MAE,RMSE,SMAPE
LT,7.694393717716761,11.802549886387967,23.23704755797483
OK,7.425996026567402,10.939885013231768,21.561946615599247
RST,7.785163146408845,11.946336065977256,23.25446882528195
EST,7.796082359337355,11.041175347836099,22.55965048398157
EFIM,8.962031589095288,12.614033357097151,26.26677849363761
HST,6.501786707499006,9.470863577903232,19.6728897083786
STISE,7.278337709594034,10.222386373515498,22.25004718209333
BiLSTM,8.219150932786674,11.310515169929047,25.279121012863712
CGDST,5.805490691461342,8.535098035860926,17.815729491731194
FGDST,5.7798159598284,8.580517621758839,17.806219725099652
