Method,MAE,RMSE,SMAPE
LT,12.551534203771133,20.007214993055417,21.06276189113132
OK,11.248943551846928,16.958745560626948,19.069723273634352
RST,12.451257126083545,19.50523640686595,20.84726854850007
EST,11.864745227194293,17.569222224781466,20.05562993452568
EFIM,14.763142621523714,22.036730248437447,24.980158192848968
HST,9.808367373212537,14.682437126490722,16.87766181359807
STISE,11.386078220681298,16.625903778922616,19.177283904567425
BiLSTM,11.616422995998585,16.605707594370436,20.039729199320615
CGDST,9.107742022856858,13.916669764131047,15.91607593003783
FGDST,8.995157748525179,13.847702876931892,15.621647698048847
