Method,MAE,RMSE,SMAPE
LT,9.220801599,16.15894386,19.23840683
OK,10.83660387,17.43630212,21.26452087
RST,9.410384635,16.42757652,19.48393862
EST,11.08432443,17.71512193,22.1248076
EFIM,12.72926492,20.48638414,24.76361799
HST,8.569813459,13.71963523,17.32365486
STISE,10.18275455,16.29558512,20.42300109
BiLSTM,11.1161035,17.20748178,22.89511527
CGDST,8.323574205,13.50991658,16.90819489
FGDST,8.155405679,13.30744946,16.63072521
