Method,MAE,RMSE,SMAPE
LT,21.11927079433305,48.86567267277229,19.894461560763787
OK,18.068466820152935,31.56977774900005,18.52795535335771
RST,20.908737208727686,48.75225657598745,19.770339004243006
EST,18.676765750595173,31.65436586939768,18.81902473240846
EFIM,22.967614431489665,39.48280611783427,22.86514863408317
HST,17.24104174268156,28.851432864732164,17.666228701567327
STISE,18.729479675808857,34.89301600798376,18.612838466733773
BiLSTM,20.993622975146405,56.251952614120654,19.466431943928164
CGDST,16.391443516367847,27.532273084533845,16.698933703490752
FGDST,15.883989706546501,27.696319964508138,16.220666581813166
