Method,MAE,RMSE,SMAPE
LT,5.48715651135006,9.012051369831015,11.918088198458113
OK,9.232275432765142,16.120595961396564,19.23699037947771
RST,5.636649197278912,9.3314781632136,12.082773191366313
EST,9.766535645810018,16.338377734982807,20.83085247377144
EFIM,11.50041447131948,18.9841236209153,23.784327843084675
HST,5.534367737026408,9.067404932623148,11.892224543832441
STISE,7.689096317496351,12.678198396291606,16.74530646034323
BiLSTM,10.637344177311473,17.253524230565418,23.753532294007893
CGDST,5.5207653064143685,9.099115461757997,11.93290820737463
FGDST,5.518273421745245,9.088196057869341,11.921648476898833
