Method,MAE,RMSE,SMAPE
LT,10.02039881013555,17.582708402797927,20.83488169621028
OK,10.049595613716988,16.906207502740493,20.158825413573872
RST,9.83787563625772,17.509191541012882,20.344711922946697
EST,10.150760404976886,16.719806460917702,20.314656061771046
EFIM,11.687184225114029,19.86678317192271,23.24915207243237
HST,8.748930155138046,14.867339991414578,17.898376018940283
STISE,10.124558831003393,17.32468531478034,20.709649677047388
BiLSTM,10.772135147981208,16.79202582337552,23.3989576609708
CGDST,8.367156536721014,14.536373703799756,16.989873907581078
FGDST,8.286602002079416,14.534092559858342,16.855075693575817
