Method,MAE,RMSE,SMAPE
LT,3.746894409937888,8.336898823158263,8.810190608960044
OK,9.275229384556877,17.357514009839985,20.272035175939816
RST,3.9186309867041023,8.39727716145798,9.372006387122447
EST,9.364974022795792,16.13410577764156,21.001991181371025
EFIM,11.448188147371724,17.977164704906343,25.748024662305212
HST,3.844652807545183,8.211275641841015,8.913434076422552
STISE,7.25005356717554,12.561518262642315,16.431528376790276
BiLSTM,11.167597542322746,18.769551196968703,25.96772194959306
CGDST,3.871790649893664,8.325665562279964,9.090402274145688
FGDST,3.876453608715127,8.327381668671647,9.084770754100393
