Method,MAE,RMSE,SMAPE
LT,9.220801598507355,16.15894386475273,19.23840682627695
OK,10.836603815848315,17.43630206088878,21.26452076307802
RST,9.41038463438456,16.427576517801967,19.483938615459813
EST,11.08432424619156,17.715121132912685,22.124807422557108
EFIM,12.730387873516012,20.50699758796227,24.76961446709236
HST,8.569813425459127,13.719635198469318,17.323654799275843
STISE,10.182754566846224,16.295585184310397,20.423001107101825
BiLSTM,11.164242183857278,17.156614372344368,23.39199397680584
CGDST,8.329052749019437,13.469506924993212,17.024134401700735
FGDST,8.105388855625991,13.291653869483865,16.626291956315367
