Method,MAE,RMSE,SMAPE
LT,9.002887798930907,15.175843852086825,25.81684083748773
OK,9.30470980446454,14.422308646671045,25.51669927638828
RST,8.86820742143231,14.445670209924591,25.82428440639788
EST,9.319836167103109,13.651823820620654,26.284615579244296
EFIM,10.282348497476152,14.6261836153629,30.002884131612785
HST,7.990361326760467,12.494663383266264,22.9367737947522
STISE,8.632655043699819,12.573141319238644,25.31571173573708
BiLSTM,9.912015177464966,14.025382413381603,29.32484263111057
CGDST,7.818838695503005,12.56314479784349,22.302632243469453
FGDST,7.50191672900551,11.963995613804103,21.53704585864308
