Method,MAE,RMSE,SMAPE
LT,9.000773558368492,15.177038539449713,20.19309340020174
OK,10.059382556243591,17.04648511132099,21.613065214632826
RST,8.99804294143305,15.398966050006528,19.960635849381692
EST,10.472815440854188,17.530664860321696,22.070690666451664
EFIM,17.60781302837189,28.95511223771645,37.59778175337522
HST,7.961289724898503,13.431892629369216,17.535715945939632
STISE,9.742937849862939,16.379946705213946,20.555029135991234
BiLSTM,10.99552875030326,17.605452893766106,24.399349010502736
CGDST,7.824595353835923,12.852040066151137,17.507829855667893
FGDST,7.7972813137761054,12.830075544577868,17.454370953423698
