Method,MAE,RMSE,SMAPE
LT,9.002887798930908,15.175843852086825,25.81684083748773
OK,9.30470982826888,14.42230868467838,25.5166993285006
RST,8.868207422263767,14.445670209993324,25.82428441006734
EST,9.319836174476613,13.651823829893427,26.28461559665168
EFIM,10.792691653441324,15.426709563689533,30.750532125601374
HST,7.9903613359749635,12.494663392718993,22.936773823212672
STISE,8.632655067683686,12.573141359701461,25.315711803502
BiLSTM,10.041604319750462,14.325570622002097,29.219726482338746
CGDST,7.580278408340794,11.88934466144463,21.851484681878752
FGDST,7.56546422747658,12.043818026174845,21.624186653509074
